M1.H_b.cs Time [a],H,CA,HCO3,CO3,CO2aq,Omega
143000.0,7.164402743197886e-09,0.002273214278557385,0.0020069428933544935,0.00013313569260144575,1.6610401148517417e-05,3.038775615589711
143200.0,7.163194145193502e-09,0.002273263264811333,0.0020069464777694402,0.0001331583935209465,1.660762872031569e-05,3.0392937561370164
143400.0,7.162005765260282e-09,0.002273310515873466,0.002006949180602793,0.00013318066763533644,1.66048958631761e-05,3.0398021550069543
143600.0,7.160839374031366e-09,0.0022733560132342646,0.0020069510443759576,0.0001332024844291535,1.6602207037834686e-05,3.0403001156947775
143800.0,7.159694941325915e-09,0.0022733998088450605,0.0020069521147094357,0.0001332238470678124,1.6599562555180128e-05,3.0407877104499694
144000.0,7.158571880074792e-09,0.002273441967629421,0.0020069524303553614,0.00013324476863702992,1.659696137780637e-05,3.0412652379494385
144200.0,7.157474105446336e-09,0.002273482275493573,0.0020069519317178638,0.00013326517188785468,1.6594412093120896e-05,3.04173093501289
144400.0,7.156401836100554e-09,0.00227352089278085,0.002006950768332913,0.0001332850622239685,1.6591916447382653e-05,3.0421849249774713
144600.0,7.1553524401802636e-09,0.0022735579053258692,0.002006948930188555,0.0001333044875686572,1.6589468258318852e-05,3.042628301675417
144800.0,7.154324616058366e-09,0.002273593355235014,0.002006946412320067,0.00013332347145747362,1.658706446942609e-05,3.0430616022974903
145000.0,7.153317286107882e-09,0.0022736273296250706,0.002006943256802194,0.00013334203641143837,1.6584702932190797e-05,3.0434853408781097
145200.0,7.152325181998403e-09,0.0022736600719058804,0.0020069395056682526,0.00013336028311881389,1.6582371781507718e-05,3.0439018155916453
145400.0,7.151346766971064e-09,0.0022736914609423646,0.0020069350018365305,0.000133378229552917,1.6580066158610688e-05,3.044311436672767
145600.0,7.150383413025586e-09,0.0022737215134740543,0.0020069298056667115,0.00013339585390367142,1.657778974533449e-05,3.044713706314113
145800.0,7.149435280658015e-09,0.002273750280238395,0.002006923967655626,0.00013341315629138454,1.65755433328826e-05,3.045108627261657
146000.0,7.148502456249905e-09,0.002273777727054639,0.002006917460901624,0.00013343013307650742,1.6573326901169307e-05,3.0454961164439673
146200.0,7.147582955260279e-09,0.0022738039763348524,0.002006910328460475,0.00013344682393718861,1.657113620651563e-05,3.045877079500907
146400.0,7.1466759750481336e-09,0.0022738290676428655,0.00200690257915194,0.00013346324424546273,1.6568969462544755e-05,3.046251867293789
