M1.D_b.DIC Time [a],M1.D_b.DIC DIC [mol],M1.D_b.DIC C^{12}$S [mol],M1.D_b.DIC C^{13}$S [mol],M1.D_b.DIC $\delta^{13}$C [VPDB],M1.D_b.DIC DIC [mol/l],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [mol/a],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [C^{12}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [C^{13}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [mol/a],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [C^{12}$S],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [C^{13}$S],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [mol/a],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [C^{12}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [C^{13}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [mol/a],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [C^{12}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [C^{13}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC $\delta^{13}$C [VPDB]
6000.0,2.9491801994995635e+18,1.9162140244190019e+18,1.0329661750805617e+18,46971.574810131744,0.0022804244941703974,1685510614474592.2,1053519100426751.8,631991514047840.5,52383.95214971276,1799118119335943.0,1168967561478601.5,630150557857341.5,46971.55040481267,2022612737369510.8,1264222920512102.2,758389816857408.5,52383.95214971276,2158941743203131.8,1402761073774322.0,756180669428809.8,46971.55040481267,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
6200.0,2.949117247685414e+18,1.9154904808941102e+18,1.0336267667913037e+18,47020.38511329746,0.0022803758173011567,1685470211237551.5,1053076511352028.2,632393699885523.2,52440.375142063946,1799079716795923.5,1168526171157475.0,630553545638448.5,47020.360708305714,2022564253485062.0,1263691813622434.0,758872439862628.0,52440.375142063946,2158895660155108.5,1402231405388970.2,756664254766138.2,47020.360708305714,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
6400.0,2.94905237877664e+18,1.914766213535748e+18,1.0342861652408919e+18,47069.195018698236,0.0022803256580574104,1685428941802070.0,1052633660166797.1,632795281635272.9,52496.80783256893,1799040144735973.2,1168084339261237.8,630955805474735.5,47069.17061373615,2022514730162484.0,1263160392200156.8,759354337962327.2,52496.80783256893,2158848173683168.0,1401701207113485.2,757146966569682.8,47069.17061373615,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
6600.0,2.948985933013865e+18,1.914041435522363e+18,1.0349444974915021e+18,47118.00512960514,0.0022802742795268644,1685386965225980.5,1052190648077974.6,633196317148005.9,52553.25001733052,1798999610585793.5,1167642195752071.5,631357414833722.0,47117.98072442207,2022464358271176.8,1262628777693569.5,759835580577607.2,52553.25001733052,2158799532702952.2,1401170634902485.8,757628897800466.5,47117.98072442207,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
6800.0,2.948917935537473e+18,1.913316158013695e+18,1.035601777523778e+18,47166.81585464504,0.002280221701149072,1685344143404532.8,1051747387688150.8,633596755716382.0,52609.70189863984,1798958129861501.0,1167199747553670.0,631758382307831.0,47166.7914490773,2022412972085439.5,1262096865225781.0,760316106859658.5,52609.70189863984,2158749755833801.5,1400639697064404.2,758110058769397.2,47166.7914490773,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
7000.0,2.948848709616157e+18,1.9125905867681848e+18,1.0362581228479724e+18,47215.62751325908,0.002280168172888362,1685300642635594.2,1051303984388188.2,633996658247406.0,52666.163304467766,1798915899640068.8,1166757120102664.5,632158779537404.2,47215.60310714505,2022360771162713.2,1261564781265826.0,760795989896887.2,52666.163304467766,2158699079568082.5,1400108544123197.5,758590535444885.0,47215.60310714505,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
7200.0,2.9487787007996877e+18,1.9118649973379348e+18,1.0369137034617528e+18,47264.4410855341,0.002280114039261698,1685259250777080.8,1050862193247459.5,634397057529621.2,52722.63200609515,1798873191481440.5,1166314481345160.2,632558710136280.2,47264.41667801596,2022311100932497.0,1261034631896951.5,761276469035545.5,52722.63200609515,2158647829777728.8,1399577377614192.5,759070452163536.2,47264.41667801596,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
7400.0,2.948708633718776e+18,1.911139850436513e+18,1.0375687832822628e+18,47313.25721730418,0.0022800598605826287,1685217150182638.8,1050420258534248.1,634796891648390.6,52779.107678236534,1798830447824730.2,1165872112574450.0,632958335250280.2,47313.23280875663,2022260580219166.5,1260504310241097.8,761756269978068.8,52779.107678236534,2158596537389676.5,1399046535089340.0,759550002300336.5,47313.23280875663,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
7600.0,2.948638141508383e+18,1.9104149189309292e+18,1.0382232225774541e+18,47362.07511848381,0.002280005353176382,1685174214701518.8,1049978097378205.0,635196117323313.8,52835.59093367793,1798787444927691.0,1165429875270315.2,633357569657375.8,47362.050709152,2022209057641822.5,1259973716853846.0,762235340787976.5,52835.59093367793,2158544933913229.2,1398515850324378.2,760029083588851.0,47362.050709152,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
7800.0,2.948567029578373e+18,1.9096900806030065e+18,1.0388769489753667e+18,47410.894500336566,0.002279950366578056,1685130712159482.8,1049535875060508.6,635594837098974.1,52892.082026379016,1798744063997818.8,1164987694821289.0,633756369176529.8,47410.87009029203,2022156854591379.5,1259443050072610.5,762713804518769.0,52892.082026379016,2158492876797382.8,1397985233785547.0,760507643011835.8,47410.87009029203,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
