M1.D_b.TA Time [a],M1.D_b.TA TA [mol],M1.D_b.TA C^{12}$S [mol],M1.D_b.TA C^{13}$S [mol],M1.D_b.TA $\delta^{13}$C [VPDB],M1.D_b.TA TA [mol/l],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [mol/a],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{12}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{13}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [mol/a],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{12}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{13}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA $\delta^{13}$C [VPDB]
4000.0,3.083544155042924e+18,1.1480884808526397e+19,-8.397338594070041e+18,-66089.08927089015,0.0023843200972287304,1835939550796760.8,6984503093899931.0,-5148563543103170.0,-66598.28004748543,1881085492334843.0,7003795142082292.0,-5122709649747449.0,-66089.07346820128,2203127460956113.0,8381403712679918.0,-6178276251723805.0,-66598.28004748543,2257302590801811.5,8404554170498750.0,-6147251579696938.0,-66089.07346820128,120000000000000.0,118666520574994.69,1333479425005.328,0.0
4200.0,3.0835590485985725e+18,1.1496139032219263e+19,-8.412577922390059e+18,-66120.68826515642,0.0023843316135237036,1835947566913890.8,6993851559441458.0,-5157903992527567.0,-66629.44522714017,1881094579252873.8,7013100824056057.0,-5132006244803183.0,-66120.67246895403,2203137080296669.0,8392621871329750.0,-6189484791033081.0,-66629.44522714017,2257313495103448.5,8415720988867268.0,-6158407493763820.0,-66120.67246895403,120000000000000.0,118666520574994.69,1333479425005.328,0.0
4400.0,3.083569868807267e+18,1.1511412093959088e+19,-8.427840162171132e+18,-66152.27401309152,0.00238433998014333,1835953026780664.2,7003211622970733.0,-5167258596190069.0,-66660.59832140511,1881101181234649.2,7022417997979107.0,-5141316816744458.0,-66152.2582237766,2203143632136797.2,8403853947564880.0,-6200710315428083.0,-66660.59832140511,2257321417481579.0,8426901597574927.0,-6169580180093348.0,-66152.2582237766,120000000000000.0,118666520574994.69,1333479425005.328,0.0
4600.0,3.0835767230357064e+18,1.1526704064836045e+19,-8.44312527706124e+18,-66183.84572982174,0.0023843452801078505,1835956080952878.5,7012583392150253.0,-5176627311197374.0,-66691.73767123447,1881105363812800.0,7031746707210668.0,-5150641343397868.0,-66183.82994732575,2203147297143454.2,8415100070580305.0,-6211952773436851.0,-66691.73767123447,2257326436575360.0,8438096048652803.0,-6180769612077443.0,-66183.82994732575,120000000000000.0,118666520574994.69,1333479425005.328,0.0
4800.0,3.0835797375742305e+18,1.1542015018695422e+19,-8.458433214763289e+18,-66215.40249548483,0.002384347611070024,1835956798297304.2,7021966907271940.0,-5186010108974636.0,-66722.86243668264,1881107203940320.0,7041086996799964.0,-5159979792859644.0,-66215.38672086844,2203148157956765.2,8426360288726328.0,-6223212130769563.0,-66722.86243668264,2257328644728384.0,8449304396159955.0,-6191975751431571.0,-66215.38672086844,120000000000000.0,118666520574994.69,1333479425005.328,0.0
5000.0,3.0835790510703457e+18,1.155734502759334e+19,-8.473763908608918e+18,-66246.94329387444,0.0023843470802376683,1835955262228555.8,7031362208867970.0,-5195406946639414.0,-66753.97159839142,1881106786244866.2,7050438910704576.0,-5169332124459710.0,-66246.92752760049,2203146314674267.0,8437634650641564.0,-6234488335967297.0,-66753.97159839142,2257328143493839.5,8460526692845490.0,-6203198549351650.0,-66246.92752760049,120000000000000.0,118666520574994.69,1333479425005.328,0.0
5200.0,3.0835743911479987e+18,1.1572693789039788e+19,-8.489117328488921e+18,-66278.46950737952,0.0023843434769986855,1835949137924913.2,7040767059619150.0,-5204817921694237.0,-66785.08719923692,1881103944854320.8,7059802264669012.0,-5178698319814691.0,-66278.4537472025,2203138965509896.0,8448920471542981.0,-6245781506033085.0,-66785.08719923692,2257324733825185.0,8471762717602815.0,-6214437983777630.0,-66278.4537472025,120000000000000.0,118666520574994.69,1333479425005.328,0.0
5400.0,3.0835651148401065e+18,1.158806066098912e+19,-8.504493475341812e+18,-66309.98466665958,0.002384336304185123,1835939605430059.5,7050182655301953.0,-5214243049871894.0,-66816.19812256082,1881098287311541.0,7069176666806620.0,-5188078379495079.0,-66309.9689124149,2203127526516071.5,8460219186362344.0,-6257091659846272.0,-66816.19812256082,2257317944773849.5,8483012000167946.0,-6225694055394096.0,-66309.9689124149,120000000000000.0,118666520574994.69,1333479425005.328,0.0
5600.0,3.083551335150906e+18,1.1603445709976404e+19,-8.519892302703248e+18,-66341.48793704633,0.002384325649176392,1835927347001915.8,7059609571234967.0,-5223682224233051.0,-66847.2975308102,1881089882468369.8,7078562157634692.0,-5197472275166322.0,-66341.47218940128,2203112816402299.0,8471531485481960.0,-6268418669079661.0,-66847.2975308102,2257307858962044.0,8494274589161631.0,-6236966730199587.0,-66341.47218940128,120000000000000.0,118666520574994.69,1333479425005.328,0.0
5800.0,3.083533250622859e+18,1.16188490332675e+19,-8.535313709108502e+18,-66372.97789351961,0.0023843116654934924,1835912490267271.5,7069047847422939.0,-5233135357155668.0,-66878.38384478369,1881078851557571.2,7087958796491890.0,-5206879944934319.0,-66372.96215171684,2203094988320725.8,8482857416907526.0,-6279762428586800.0,-66878.38384478369,2257294621869085.5,8505550555790267.0,-6248255933921182.0,-66372.96215171684,120000000000000.0,118666520574994.69,1333479425005.328,0.0
