M1.CO2_At Time [a],M1.CO2_At CO2 [mol],M1.CO2_At C^{12}$S [mol],M1.CO2_At C^{13}$S [mol],M1.CO2_At $\delta^{13}$C [VPDB],M1.CO2_At CO2 [mol/l],C_H_b_2_CO2_At.CO2_F CO2 [mol/a],C_H_b_2_CO2_At.CO2_F CO2 [C^{12}$S],C_H_b_2_CO2_At.CO2_F CO2 [C^{13}$S],C_H_b_2_CO2_At.CO2_F CO2 $\delta^{13}$C [VPDB],C_L_b_2_CO2_At.CO2_F CO2 [mol/a],C_L_b_2_CO2_At.CO2_F CO2 [C^{12}$S],C_L_b_2_CO2_At.CO2_F CO2 [C^{13}$S],C_L_b_2_CO2_At.CO2_F CO2 $\delta^{13}$C [VPDB],M1.volcanic.DIC_2_CO2_At_F CO2 [mol/a],M1.volcanic.DIC_2_CO2_At_F CO2 [C^{12}$S],M1.volcanic.DIC_2_CO2_At_F CO2 [C^{13}$S],M1.volcanic.DIC_2_CO2_At_F CO2 $\delta^{13}$C [VPDB],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [mol/a],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [C^{12}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [C^{13}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 $\delta^{13}$C [VPDB]
149200.0,5.2864733845138664e+16,2.470659787300613e+16,2.8158135972132536e+16,100422.15743956738,0.0002884055310700418,47054266277996.836,-8450317723407.586,55504584001404.42,-585517.7491111184,-47046084106034.26,11413757418784.383,-58459841524818.64,-456796.3941677201,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958626875152.118,0.0,0.0,0.0
149400.0,5.285964137594579e+16,2.4695660518107224e+16,2.816398085783857e+16,100488.13774918373,0.00028837774891405234,47057471306809.555,-8463706911871.727,55521178218681.28,-584767.5463154966,-47049581548735.36,11426946076425.219,-58476527625160.58,-456400.2739652931,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958569871556.8623,0.0,0.0,0.0
149600.0,5.285462125280745e+16,2.4684764450961836e+16,2.8169856801845612e+16,100554.11863572606,0.00028835036144466694,47060574847344.44,-8477164868232.18,55537739715576.62,-584014.6403219685,-47052971076263.13,11440206566357.25,-58493177642620.38,-456001.9294652557,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958513673484.1304,0.0,0.0,0.0
149800.0,5.284966712737607e+16,2.4673906676872136e+16,2.8175760450503936e+16,100620.10000703162,0.0002883233340282383,47063574532550.31,-8490689572935.922,55554264105486.234,-583259.154795909,-47056268648788.984,11453529343864.625,-58509797992653.61,-455601.80457278073,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958458210022.699,0.0,0.0,0.0
150000.0,5.284478635586635e+16,2.466309056419493e+16,2.8181695791671424e+16,100686.08205776097,0.00028829670679687044,47066476637497.164,-8504281644193.586,55570758281690.75,-582501.1496939773,-47059453698370.44,11466926346481.797,-58526380044852.234,-455199.37219628005,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958403563732.6553,0.0,0.0,0.0
150200.0,5.283999718653799e+16,2.465232472239393e+16,2.8187672464144064e+16,100752.06371306312,0.00028827057930462627,47069326055903.18,-8517927769982.266,55587253825885.445,-581741.8926042087,-47062844102762.555,11480257157180.883,-58543101259943.44,-454801.57426216354,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958349938822.807,0.0,0.0,0.0
150400.0,5.283531708915325e+16,2.46416173884798e+16,2.819369970067345e+16,100818.04387657717,0.0002882450468584465,47072095081019.984,-8531645375427.859,55603740456447.84,-580980.1121618232,-47066055261340.336,11493706160829.383,-58559761422169.72,-454399.5639100505,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958297531545.0337,0.0,0.0,0.0
150600.0,5.2830720381541656e+16,2.4630956499522544e+16,2.819976388201911e+16,100884.02276805582,0.00028821996934829053,47074832477464.46,-8545399584036.3125,55620232061500.77,-580218.3482271237,-47069112603692.34,11507249921576.172,-58576362525268.516,-453994.3062889033,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958246054570.6426,0.0,0.0,0.0
150800.0,5.282620295458797e+16,2.4620339929814396e+16,2.8205863024773572e+16,100950.00164574143,0.0002881953243567265,47077442233768.86,-8559236991281.094,55636679225049.95,-579452.94766751,-47072074027475.47,11520863026268.18,-58592937053743.65,-453587.0721001066,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958195461900.706,0.0,0.0,0.0
151000.0,5.282176301371032e+16,2.4609766831622876e+16,2.8211996182087444e+16,101015.9802434453,0.000288171102093346,47079975635121.44,-8573131622415.828,55653107257537.266,-578685.963359204,-47074915193769.47,11534554269422.36,-58609469463191.83,-453177.41099724686,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958145733701.407,0.0,0.0,0.0
151200.0,5.281740471705855e+16,2.4599239110099616e+16,2.8218165606958936e+16,101081.95845545552,0.00028814732524309086,47082432254542.74,-8587086254167.211,55669518508709.95,-577917.2561221307,-47077789503145.07,11548254839086.125,-58626044342231.195,-452768.68367168086,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2958096916551.4155,0.0,0.0,0.0
