M1.H_b.TA Time [a],M1.H_b.TA TA [mol],M1.H_b.TA C^{12}$S [mol],M1.H_b.TA C^{13}$S [mol],M1.H_b.TA $\delta^{13}$C [VPDB],M1.H_b.TA TA [mol/l],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [mol/a],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{12}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{13}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA $\delta^{13}$C [VPDB]
5000.0,4.033272565058511e+16,1.5446683181535408e+17,-1.1413410616476896e+17,-66753.98714883614,0.002327116461221079,1781773145010074.5,7009502807431185.0,-5227729662421110.0,-67369.38549847255,1835955262228555.8,7031362208867970.0,-5195406946639414.0,-66753.97159839142,2203146314674267.0,8437634650641564.0,-6234488335967297.0,-66753.97159839142,2257328143493839.5,8460526692845490.0,-6203198549351650.0,-66246.92752760049
5200.0,4.033259105031739e+16,1.5467344003152496e+17,-1.1434084898120757e+17,-66785.10275707966,0.0023271086950586474,1781762480918146.2,7018958414563819.0,-5237195933645673.0,-67399.99430863169,1835949137924913.2,7040767059619150.0,-5204817921694237.0,-66785.08719923692,2203138965509896.0,8448920471542981.0,-6245781506033085.0,-66785.08719923692,2257324733825185.0,8471762717602815.0,-6214437983777630.0,-66278.4537472025
5400.0,4.033238160786337e+16,1.548802843231447e+17,-1.1454790271528134e+17,-66816.2136747967,0.0023270966106538724,1781747996318646.0,7028424683697681.0,-5246676687379035.0,-67430.60335604809,1835939605430059.5,7050182655301953.0,-5214243049871894.0,-66816.19812256082,2203127526516071.5,8460219186362344.0,-6257091659846272.0,-66816.19812256082,2257317944773849.5,8483012000167946.0,-6225694055394096.0,-66309.9689124149
5600.0,4.033211228241471e+16,1.5508737730130115e+17,-1.1475526501888643e+17,-66847.31307688396,0.0023270810711217707,1781730821342181.8,7037902555363237.0,-5256171734021055.0,-67461.20122153302,1835927347001915.8,7059609571234967.0,-5223682224233051.0,-66847.2975308102,2203112816402299.0,8471531485481960.0,-6268418669079661.0,-66847.2975308102,2257307858962044.0,8494274589161631.0,-6236966730199587.0,-66341.47218940128
5800.0,4.033178587643592e+16,1.552947198448574e+17,-1.1496293396842149e+17,-66878.39938487674,0.00232706223815886,1781711078560151.8,7047392046649937.0,-5265680968089785.0,-67491.78630587694,1835912490267271.5,7069047847422939.0,-5233135357155668.0,-66878.38384478369,2203094988320725.8,8482857416907526.0,-6279762428586800.0,-66878.38384478369,2257294621869085.5,8505550555790267.0,-6248255933921182.0,-66372.96215171684
6000.0,4.033140448658767e+16,1.5550231299015283e+17,-1.1517090850356515e+17,-66909.47145543483,0.002327040232738207,1781688854008212.5,7056893195006123.0,-5275204340997910.0,-67522.3575438454,1835895130515971.2,7078497531038010.0,-5242602400522039.0,-66909.45592302797,2203074156619165.8,8494197037245614.0,-6291122880626448.0,-66909.45592302797,2257278390191487.5,8516839966884449.0,-6259561576692962.0,-66404.43725449212
6200.0,4.033092328525241e+16,1.5571011401246307e+17,-1.1537919072721066e+17,-66940.54849048586,0.0023270124683972063,1781659512596147.0,7066401600981576.0,-5284742088385429.0,-67552.9592424912,1835873228735978.5,7087956678596566.0,-5252083449860588.0,-66940.53295239955,2203047874483174.2,8505548014315880.0,-6302500139832706.0,-66940.53295239955,2257258972295950.0,8528142648341227.0,-6270883676045277.0,-66435.89892529913
6400.0,4.0330366502731e+16,1.5591814623594557e+17,-1.1558777973321456e+17,-66971.61995985071,0.00232698034317507,1781626387107037.5,7075920527488462.0,-5294294140381424.0,-67583.55960250061,1835847885374207.0,7097426349361574.0,-5261578463987367.0,-66971.60442640149,2203017462449048.5,8516911619233890.0,-6313894156784842.0,-66971.60442640149,2257236010453103.0,8539458207657333.0,-6282222197204230.0,-66467.3497162022
6600.0,4.0329748764394776e+16,1.5612642103067728e+17,-1.157966722662825e+17,-67002.67908554479,0.0023269447009260586,1781590513210999.0,7085450812108086.0,-5303860298897087.0,-67614.14813049839,1835819767075649.0,7106907062005534.0,-5271087294929885.0,-67002.66355938793,2202983720490779.0,8528288474406641.0,-6325304753915862.0,-67002.66355938793,2257209739081296.5,8550786705824265.0,-6293576966742968.0,-66498.78725963384
6800.0,4.032907041520224e+16,1.5633493942986864e+17,-1.160058690146664e+17,-67033.72572768494,0.0023269055615535777,1781551929306081.2,7094992480109981.0,-5313440550803900.0,-67644.72432523158,1835788889840746.0,7116398863553246.0,-5280609973712500.0,-67033.71020771755,2202946667808895.5,8539678636263897.0,-6336731968455002.0,-67033.71020771755,2257180089551181.5,8562128222605358.0,-6304948133054176.0,-66530.21239353684
