M1.L_b.cs Time [a],H,CA,HCO3,CO3,CO2aq,Omega
46000.0,7.3373678007446466e-09,0.002147798655072709,0.0016605290654888422,0.0002436347947919334,9.068614038233117e-06,5.699812527626423
46200.0,7.337614814383564e-09,0.0021480721830592557,0.0016607532220975182,0.00024365948048086876,9.070143557746006e-06,5.700390046938339
46400.0,7.3361258332996865e-09,0.002148394875492074,0.0016609262293098641,0.00024373432309110488,9.069247685191371e-06,5.702140982586872
46600.0,7.33365492599043e-09,0.002148729906121768,0.0016610582565317156,0.0002438358247950263,9.066913711541606e-06,5.704515605161126
46800.0,7.3304232943713166e-09,0.0021490772029354455,0.0016611605242280768,0.00024395833935368432,9.063476289975034e-06,5.707381821445431
47000.0,7.326586039197799e-09,0.002149429493519573,0.0016612352974721652,0.00024409709802370382,9.059139591469198e-06,5.710628067148427
47200.0,7.323267842190633e-09,0.002149679072064819,0.0016612572263520595,0.0002442109228563799,9.055156253837235e-06,5.713290988131433
47400.0,7.320406091518359e-09,0.002149904884721116,0.0016612841750806397,0.00024431035482023816,9.051764558638234e-06,5.71561718933652
47600.0,7.317606801284526e-09,0.0021501262429032145,0.0016613107856712492,0.00024440772861598263,9.048448141231696e-06,5.717895239897077
47800.0,7.31476603350399e-09,0.0021503421079252633,0.0016613308948528842,0.00024450560653618955,9.045044927196897e-06,5.720185084400813
48000.0,7.311857874532746e-09,0.0021505500046063997,0.0016613412476400515,0.0002446043784831741,9.041505197652589e-06,5.722495844574792
48200.0,7.309382408082691e-09,0.0021507004891189374,0.001661329509591337,0.0002446854897638002,9.038380290088324e-06,5.724393435162537
48400.0,7.3072682779590935e-09,0.0021508333068728323,0.001661322738289819,0.0002447552842915066,9.035729244776121e-06,5.726026271407132
48600.0,7.305309113317283e-09,0.002150958065077723,0.0016613177020756804,0.0002448201815010212,9.033279275399769e-06,5.7275445353649355
48800.0,7.3034506943256236e-09,0.002151074787077269,0.0016613116233673204,0.0002448815818549743,9.030948228943647e-06,5.72898099072412
49000.0,7.301594062926881e-09,0.002151191503358239,0.0016613055845895847,0.00024494295938432714,9.02861962672006e-06,5.730416912103982
49200.0,7.299920280581351e-09,0.0021512861455201438,0.0016612919294577107,0.0002449971080312165,9.02647575543741e-06,5.731683714475777
49400.0,7.29839804346573e-09,0.0021513748111945358,0.0016612814792567585,0.0002450466659688886,9.02453671495964e-06,5.732843117648168
49600.0,7.296943690149042e-09,0.002151461240684329,0.0016612727917001688,0.00024509422449208015,9.022691209839714e-06,5.733955744711613
49800.0,7.295534331212419e-09,0.002151545179133608,0.0016612644861954023,0.0002451403464691029,9.020903433509526e-06,5.7350347639159835
50000.0,7.294162131576559e-09,0.0021516265981727893,0.001661256136754077,0.0002451852307093561,9.019161383186846e-06,5.736084826387999
50200.0,7.2928342750764034e-09,0.0021517045074063816,0.0016612473538724236,0.000245228576766979,9.017471826733227e-06,5.737098903225723
50400.0,7.2915481775330325e-09,0.002151779729122361,0.001661238640681677,0.000245270544220342,9.015834299868253e-06,5.7380807277497405
50600.0,7.290298688766757e-09,0.002151852519289753,0.0016612299294573502,0.0002453112949162013,9.014242066042021e-06,5.739034086349307
50800.0,7.289083746187599e-09,0.0021519229200258577,0.0016612211474358498,0.00024535088629500394,9.012692179450233e-06,5.739960322838139
51000.0,7.287901951249748e-09,0.0021519910052889527,0.0016612122807713563,0.0002453893622587982,9.011182835259044e-06,5.740860464300422
51200.0,7.286752945256749e-09,0.002152056764142607,0.001661203304018863,0.00024542673006187204,9.009713451520879e-06,5.7417346804495235
51400.0,7.2856356988299005e-09,0.0021521203096806257,0.0016611942525223953,0.0002454630285791152,9.00828294675437e-06,5.7425838807597405
51600.0,7.2845489427701045e-09,0.0021521817260459915,0.0016611851266905536,0.000245498299677719,9.006889753434221e-06,5.743409044709974
51800.0,7.283491678538022e-09,0.0021522410733440145,0.0016611759223460448,0.00024553257549898486,9.005532613848614e-06,5.744210924242874
52000.0,7.282463014870852e-09,0.0021522984059542663,0.0016611666363802611,0.00024556588478700256,9.004210408748649e-06,5.744990191823647
52200.0,7.281461354754298e-09,0.0021523538538780135,0.0016611572872183267,0.0002455982833298434,9.002921263011115e-06,5.745748152608841
52400.0,7.280485933257575e-09,0.0021524074175354917,0.0016611478364869812,0.00024562979052425524,9.001664022503667e-06,5.746485260383501
52600.0,7.279536233699685e-09,0.0021524591357372407,0.0016611382883042144,0.00024566042371651313,9.000438070379886e-06,5.747201920962061
52800.0,7.278611562200086e-09,0.0021525090585429083,0.001661128646180883,0.0002456902061810126,8.999242567407986e-06,5.747898678846757
53000.0,7.2777111910923555e-09,0.0021525572336289307,0.001661118909964768,0.0002457191618320813,8.998076612740102e-06,5.74857609351098
53200.0,7.276839631243239e-09,0.002152603178416726,0.001661108943293099,0.0002457471175618136,8.996945044614335e-06,5.749230115111972
53400.0,7.275995506510792e-09,0.002152647368913585,0.001661099042806212,0.0002457741630536866,8.995847767898882e-06,5.74986284178603
53600.0,7.275176303277018e-09,0.002152689923884855,0.0016610891700458202,0.0002458003769195174,8.994781465859161e-06,5.750476112649034
53800.0,7.274380886458274e-09,0.0021527308629110823,0.0016610792817742727,0.00024582579056840477,8.993744500417913e-06,5.75107066251382
