M1.L_b.TA Time [a],M1.L_b.TA TA [mol],M1.L_b.TA C^{12}$S [mol],M1.L_b.TA C^{13}$S [mol],M1.L_b.TA $\delta^{13}$C [VPDB],M1.L_b.TA TA [mol/l],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [mol/a],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{12}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{13}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA $\delta^{13}$C [VPDB],M1.C_TA_2_TA_wca_ta.TA_2_TA_wca_ta_F TA [mol/a],M1.C_TA_2_TA_wca_ta.TA_2_TA_wca_ta_F TA [C^{12}$S],M1.C_TA_2_TA_wca_ta.TA_2_TA_wca_ta_F TA [C^{13}$S],M1.C_TA_2_TA_wca_ta.TA_2_TA_wca_ta_F TA $\delta^{13}$C [VPDB],M1.C_TA_2_TA_wsi_ta.TA_2_TA_wsi_ta_F TA [mol/a],M1.C_TA_2_TA_wsi_ta.TA_2_TA_wsi_ta_F TA [C^{12}$S],M1.C_TA_2_TA_wsi_ta.TA_2_TA_wsi_ta_F TA [C^{13}$S],M1.C_TA_2_TA_wsi_ta.TA_2_TA_wsi_ta_F TA $\delta^{13}$C [VPDB],M1.C_TA_2_TA_PyOx_TA.TA_2_TA_PyOx_TA_F TA [mol/a],M1.C_TA_2_TA_PyOx_TA.TA_2_TA_PyOx_TA_F TA [C^{12}$S],M1.C_TA_2_TA_PyOx_TA.TA_2_TA_PyOx_TA_F TA [C^{13}$S],M1.C_TA_2_TA_PyOx_TA.TA_2_TA_PyOx_TA_F TA $\delta^{13}$C [VPDB]
4000.0,6.389566746642163e+16,2.4967716071484672e+17,-1.857814932484251e+17,-67216.39330678186,0.0022584296358462153,1781765472733159.5,6962378871678726.0,-5180613398945566.0,-67216.37799351277,1881085492334843.0,7003795142082292.0,-5122709649747449.0,-66089.07346820128,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14148664860378.115,55286942526308.91,-41138277665930.79,-67216.37799351277,5888811437632.01,23010961296593.37,-17122149858961.361,-67216.37799351277,643999983999.9918,637041857112.4369,6958126887.554932,-28.0
4200.0,6.389589749229375e+16,2.500142907943425e+17,-1.8611839330204874e+17,-67247.02053588141,0.0022584377662448357,1781771888770283.5,6971779921934207.0,-5190008033163924.0,-67247.0052247892,1881094579252873.8,7013100824056057.0,-5132006244803183.0,-66120.67246895403,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14147291512700.678,55356021463594.33,-41208729950893.65,-67247.0052247892,5888525630389.713,23040830882161.723,-17152305251772.01,-67247.0052247892,642399983199.9915,635459143593.2799,6940839606.711548,-28.0
4400.0,6.3896034505611176e+16,2.5035184276575258e+17,-1.864558082601414e+17,-67277.6366154592,0.0022584426090604577,1781775710669251.0,6981192736497001.0,-5199417025827750.0,-67277.62131088616,1881101181234649.2,7022417997979107.0,-5141316816744458.0,-66152.2582237766,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14145956144201.953,55425408312258.51,-41279452168056.555,-67277.62131088616,5888247713687.824,23070800619485.58,-17182552905797.754,-67277.62131088616,640799982399.9911,633876430074.123,6923552325.868042,-28.0
4600.0,6.3896085960122984e+16,2.506898220013827e+17,-1.867937360412597e+17,-67308.23927611517,0.00225844442775019,1781777146691665.0,6990617465538482.0,-5208840318846817.0,-67308.22397834729,1881105363812800.0,7031746707210668.0,-5150641343397868.0,-66183.82994732575,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14144655267921.479,55495084973757.32,-41350429705835.84,-67308.22397834729,5887976962887.493,23100865711447.1,-17212888748559.61,-67308.22397834729,639199981599.9907,632293716554.9661,6906265045.024658,-28.0
4800.0,6.389605428809138e+16,2.5102822974498448e+17,-1.8713217545689312e+17,-67338.82766577364,0.002258443308283759,1781776264642750.5,7000054143739526.0,-5218277879096776.0,-67338.81237534029,1881107203940320.0,7041086996799964.0,-5159979792859644.0,-66215.38672086844,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14143387168072.357,55565043668503.43,-41421656500431.07,-67338.81237534029,5887713021847.135,23131024222052.793,-17243311200205.658,-67338.81237534029,637599980799.9902,630711003035.8091,6888977764.181152,-28.0
5000.0,6.3895942376132856e+16,2.5136706729939357e+17,-1.874711249232607e+17,-67369.40078094926,0.002258439352690309,1781773145010074.5,7009502807431185.0,-5227729662421110.0,-67369.38549847255,1881106786244866.2,7050438910704576.0,-5169332124459710.0,-66246.92752760049,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14142150651934.508,55635278248224.586,-41493127596290.08,-67369.38549847255,5887455643214.638,23161274472742.285,-17273818829527.648,-67369.38549847255,635999899999.9498,629128210380.9762,6871689618.973633,-28.0
5200.0,6.389555979362469e+16,2.5170615374048992e+17,-1.878105939468652e+17,-67400.00961540458,0.002258425830088404,1781762480918146.2,7018958414563819.0,-5237195933645673.0,-67399.99430863169,1881103944854320.8,7059802264669012.0,-5178698319814691.0,-66278.4537472025,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14140982593998.773,55706060617687.88,-41565078023689.11,-67399.99430863169,5887212503700.072,23191699333503.523,-17304486829803.451,-67399.99430863169,627999895999.9479,621214642785.1915,6785253214.756348,-28.0
5400.0,6.389504031438321e+16,2.520456226341932e+17,-1.8815058231981002e+17,-67430.61865746418,0.00225840746879161,1781747996318646.0,7028424683697681.0,-5246676687379035.0,-67430.60335604809,1881098287311541.0,7069176666806620.0,-5188078379495079.0,-66309.9689124149,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14139893773692.352,55777348216032.04,-41637454442339.69,-67430.60335604809,5886985849014.83,23222272026843.406,-17335286177828.576,-67430.60335604809,619999891999.9459,613301075189.4069,6698816810.5390625,-28.0
5600.0,6.389442435722301e+16,2.5238550760501456e+17,-1.8849108324779155e+17,-67461.21651707921,0.0022583856974265058,1781730821342181.8,7037902555363237.0,-5256171734021055.0,-67461.20122153302,1881089882468369.8,7078562157634692.0,-5197472275166322.0,-66341.47218940128,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14138863257078.809,55849032106862.68,-41710168849783.875,-67461.20122153302,5886771323101.253,23252964163511.312,-17366192840410.059,-67461.20122153302,611999887999.9438,605387507593.6221,6612380406.321777,-28.0
5800.0,6.389371631662952e+16,2.5272580926610077e+17,-1.8883209294947123e+17,-67491.8015954337,0.002258360671318741,1781711078560151.8,7047392046649937.0,-5265680968089785.0,-67491.78630587694,1881078851557571.2,7087958796491890.0,-5206879944934319.0,-66372.96215171684,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14137883608927.465,55921080415875.164,-41783196806947.7,-67491.78630587694,5886567379388.1875,23283768412718.39,-17397201033330.203,-67491.78630587694,603999883999.9419,597473939997.8374,6525944002.104492,-28.0
